type,branch_points,dendritic_radius,dendritic_length
0,1,0.5506241,13.98904504
0,2,0.38103857,15.63796771
0,3,0.28993093,17.28689039
0,4,0.24098452,18.93581307
0,5,0.2146887,20.58473574
0,6,0.2005616,22.23365842
0,7,0.19297201,23.8825811
0,8,0.18889459,25.53150377
0,9,0.18670405,27.18042645
2,1,0.31297753,9.40301969
2,2,0.2264751,9.29050084
2,3,0.18121021,9.17798199
2,4,0.15752405,9.06546314
2,5,0.14512958,8.95294429
2,6,0.13864382,8.84042544
2,7,0.13524995,8.72790659
2,8,0.13347402,8.61538774
2,9,0.13254471,8.50286888
2,10,0.13205842,8.39035003
2,11,0.13180395,8.27783118
2,12,0.1316708,8.16531233
2,13,0.13160112,8.05279348
