,exp_date,recording_id,roi_id,type,dendritic_distance_to_soma,euclidean_distance_to_density_center,sRF_asd_upsampled_cntr_size_60,cntrs_offset_calibrate_to_rois_60,cntr_quality_60,sRF_asd_upsampled_cntr_size_65,cntrs_offset_calibrate_to_rois_65,cntr_quality_65,sRF_asd_upsampled_cntr_size_70,cntrs_offset_calibrate_to_rois_70,cntr_quality_70,cntr_quality
0,20161028_1,0,0,0,0,28.253028231,14.7295042645,14.2927410442,1,12.4420108433,12.8093152808,1,10.3405810603,11.2531128783,1,1
1,20161028_1,1,1,0,46.6399672617,10.2394950028,12.1773907842,10.3077544926,1,10.0995037316,11.226635021,1,8.2372822408,11.6865226853,1,1
2,20161028_1,1,2,0,34.9844619558,10.4370471769,13.0001027668,6.2186279606,1,11.0552094366,6.5733845881,1,9.2306998427,6.6545773437,1,1
3,20161028_1,1,3,0,43.3149671544,10.3220928089,13.4589394874,10.2673036868,1,11.0482107097,11.4406162081,1,8.9522461622,11.7370296329,1,1
4,20161028_1,1,4,0,69.8751434885,10.7544209501,10.7623209428,5.2160032421,1,8.8609616362,5.762906279,1,7.1965391348,6.4037753841,1,1
5,20161028_1,1,5,0,56.5824743204,4.7015333865,13.263318717,16.8136690853,1,10.9294233671,15.1141358855,1,8.8609748887,14.2476212105,1,1
6,20161028_1,1,6,0,55.9213932735,6.7563261658,13.8649642897,10.8513397067,1,11.5054010259,11.5375600632,1,9.3973783837,12.2439134368,1,1
7,20161028_1,1,7,0,47.8805266528,2.5883057118,14.8788096188,16.8943555122,1,11.9884643807,15.7020696747,1,9.6729117033,15.2911139929,1,1
8,20161028_1,1,8,0,74.1983245054,14.1923561185,12.9512646432,13.9550367924,1,9.9348692759,8.6065422817,1,7.8212217337,8.2619064906,1,1
9,20161028_1,1,9,0,80.690686444,18.9828610247,10.0077563612,9.9517929168,1,8.3192202653,10.1874185564,1,6.8117234046,10.3608862646,1,1
10,20161028_1,1,10,0,39.8435790067,10.525078214,12.082098839,10.4745121964,1,10.0033436659,12.1643002428,1,8.1658451258,12.7956226271,1,1
11,20161028_1,1,11,0,59.1322974151,6.4362214663,11.5214645217,8.5149064599,1,9.5423995448,9.1828880692,1,7.7818335235,9.4295036821,1,1
12,20161028_1,1,12,0,50.9054194183,8.5948305424,14.9092519017,7.7867460499,1,12.4199348339,6.86370692,1,10.1873082192,6.7283116732,1,1
13,20161028_1,1,13,0,91.548990238,27.7943636404,8.7931485858,6.8475914018,1,7.2863200005,6.8464217405,1,5.9528164697,7.3855647584,1,1
14,20161028_1,1,14,0,69.6146594824,10.4842858262,9.8854824842,2.7632804205,1,8.280581113,3.0490216387,1,6.826147675,2.8244168463,1,1
15,20161028_1,1,15,0,65.9714465086,8.0382860478,13.964827116,4.4038215485,1,11.3960667269,2.5531381695,1,9.1441996695,2.8462099348,1,1
16,20161028_1,1,16,0,84.6093514456,22.1808849365,10.6079586819,9.0018302823,1,8.8070740344,8.6067440023,1,7.2055838132,8.5010748467,1,1
17,20161028_1,1,17,0,87.8630164257,24.9859781249,12.4686585436,14.6241225927,1,10.3749423319,13.9656374026,1,8.4835406525,13.8978092937,1,1
18,20161028_1,1,18,0,41.8813399097,6.8629208658,17.9417378336,12.7222457945,1,14.6967836026,11.6619408597,1,11.5745305104,9.1919879912,1,1
19,20161028_1,1,19,0,74.1833564837,14.3351623329,9.3438677645,8.6366885738,1,7.7806664147,9.3239291438,1,6.3739891925,9.790966042,1,1
20,20161028_1,1,20,0,77.0047126316,16.2029354938,15.0527485588,14.6011550574,1,12.2207680855,15.5665154635,1,9.8172255433,15.8665045915,1,1
21,20161028_1,1,21,0,94.0948943581,30.1795559811,7.6868698207,19.2046855854,1,6.431279631,18.937737388,1,5.2955124039,19.1723318841,1,1
22,20161028_1,1,22,0,61.2736855198,7.5422383034,11.2561279737,4.4353584827,1,9.2153251769,4.065519603,1,7.4518249055,3.2704793548,1,1
23,20161028_1,2,1,0,140.3277815811,77.2316292675,8.5005673086,23.2657960159,1,7.0296087047,22.0209966607,1,5.727504168,21.3536448714,1,1
