,date,diff,field,asym,soma_size,clustering_result
0,20161028/1,-2.850785255,57.09943361,28.25302823,327.2391968,tOFFa
1,20161103/1,1.120097637,36.6146645,40.78044054,283.9552307,tOFFa
2,20161110/1,-1.722340584,62.65377757,44.15240591,300.2640686,tOFFa
3,20161110/2,-2.474654675,73.95019504,61.5439257,330.7769165,tOFFa
4,20161215/1,-3.287234306,45.75481096,68.810906,317.9526672,tOFFa
5,20161217/1,-1.733257771,52.43287882,74.14791906,282.57547,tOFFa
6,20161223/1,-3.900524139,52.79813139,94.68484055,360.4053345,tOFFa
7,20170109/1,-3.953959942,38.90054626,51.81917375,275.5000305,tOFFa
8,20170201/1,-6.588338375,57.4096852,20.04662077,337.852356,tOFFa
9,20170425/1,8.088415146,11.75631281,57.69062541,98.65111542,f-mini
10,20170520/1,7.238747597,9.727588761,73.48138902,97.35021973,f-mini
11,20170522/1,11.4313345,31.95462721,16.95073417,117.6957245,sOff
12,20170610/1,-4.794939995,28.50319072,19.22722905,160.736557,mini-alpha
13,20170615/1,-1.508314133,41.11189272,88.63467334,356.4253845,tOFFa
14,20171022/1,8.523425102,27.98126132,5.050822302,244.3424225,sOff
15,20171025/1,0.146313667,55.56292064,35.79830647,348.0233154,tOFFa
16,20171105/1,-5.816216469,36.64105951,31.64171472,188.8258667,mini-alpha
17,20171109/1,-3.621070623,53.89010071,41.45040716,368.3652039,tOFFa
18,20171109/2,-0.884837151,52.220964,20.92111071,302.9173584,tOFFa
19,20171203/1,-2.173491001,50.17041358,5.8568681,299.3796387,tOFFa
20,20171214/2,5.593220711,30.68267826,12.22177797,183.5192871,sOff
21,20171219/1,-1.218531132,54.3412743,14.71388359,371.9029236,tOFFa
22,20171221/1,8.770160675,25.27648445,22.54755544,270.4335632,sOff
23,20180126/1,-2.057177305,66.76934789,21.7409334,351.1188049,tOFFa
24,20180202/1,4.466501236,11.62367262,80.02877217,103.2566223,f-mini
25,20180205/1,-4.253951073,52.66833774,49.18566842,267.5401611,tOFFa
26,20180216/1,6.595132828,11.21400674,68.15579274,104.1740494,f-mini
27,20180216/2,7.481981278,13.15679597,94.53256098,109.8874359,f-mini
28,20180329/1,-3.043165684,26.55964433,21.43994749,173.49646,mini-alpha
29,20180330/1,-6.270228863,30.99370945,6.535479095,122.2664337,mini-alpha
30,20170421/1,-5.5943832,26.00735966,15.46820465,112.00814,mini-alpha
