,cell_id,ROI_id,group,Injected_CurrentAmp,DendriticCalcium_area,SomaticSpikes
0,tOff_alpha_distal_1,12.0,1,0.1,24.804838,26.5
1,tOff_alpha_distal_1,12.0,1,0.2,14.560073,26.5
2,tOff_alpha_distal_1,12.0,1,0.3,24.432783,32.0
3,tOff_alpha_distal_1,12.0,1,0.4,25.338554,35.5
4,tOff_alpha_distal_1,12.0,1,0.5,18.617302,40.0
5,tOff_alpha_distal_1,13.0,1,0.1,17.1885,26.5
6,tOff_alpha_distal_1,13.0,1,0.2,14.551295,26.5
7,tOff_alpha_distal_1,13.0,1,0.3,18.673794,32.0
8,tOff_alpha_distal_1,13.0,1,0.4,23.965267,35.5
9,tOff_alpha_distal_1,13.0,1,0.5,20.23805,40.0
10,tOff_alpha_distal_1,14.0,1,0.1,16.515825,26.5
11,tOff_alpha_distal_1,14.0,1,0.2,15.203786,26.5
12,tOff_alpha_distal_1,14.0,1,0.3,18.599575,32.0
13,tOff_alpha_distal_1,14.0,1,0.4,20.084332,35.5
14,tOff_alpha_distal_1,14.0,1,0.5,21.705004,40.0
15,tOff_alpha_distal_1,15.0,1,0.1,47.10702,52.0
16,tOff_alpha_distal_1,15.0,1,0.2,21.88355,42.333332
17,tOff_alpha_distal_1,15.0,1,0.3,30.543512,49.333332
18,tOff_alpha_distal_1,15.0,1,0.4,33.182735,43.666668
19,tOff_alpha_distal_1,15.0,1,0.5,51.23027,52.333332
20,tOff_alpha_distal_1,16.0,1,0.1,38.163593,52.0
21,tOff_alpha_distal_1,16.0,1,0.2,19.341349,42.333332
22,tOff_alpha_distal_1,16.0,1,0.3,24.450922,49.333332
23,tOff_alpha_distal_1,16.0,1,0.4,22.868454,43.666668
24,tOff_alpha_distal_1,16.0,1,0.5,36.439243,52.333332
25,tOff_alpha_distal_1,17.0,1,0.1,26.516586,52.0
26,tOff_alpha_distal_1,17.0,1,0.2,16.911238,42.333332
27,tOff_alpha_distal_1,17.0,1,0.3,19.688234,49.333332
28,tOff_alpha_distal_1,17.0,1,0.4,20.061646,43.666668
29,tOff_alpha_distal_1,17.0,1,0.5,27.45062,52.333332
30,tOff_alpha_distal_1,18.0,1,0.1,26.657663,52.0
31,tOff_alpha_distal_1,18.0,1,0.2,20.111313,42.333332
32,tOff_alpha_distal_1,18.0,1,0.3,18.331398,49.333332
33,tOff_alpha_distal_1,18.0,1,0.4,19.463528,43.666668
34,tOff_alpha_distal_1,18.0,1,0.5,21.888893,52.333332
35,tOff_alpha_distal_2,19.0,1,0.1,9.11485,3.3333333
36,tOff_alpha_distal_2,19.0,1,0.2,9.611875,7.0
37,tOff_alpha_distal_2,19.0,1,0.3,13.162164,8.0
38,tOff_alpha_distal_2,19.0,1,0.4,21.348696,13.333333
39,tOff_alpha_distal_2,19.0,1,0.5,45.385113,24.0
40,tOff_alpha_distal_2,20.0,1,0.1,7.646553,3.3333333
41,tOff_alpha_distal_2,20.0,1,0.2,7.7066064,7.0
42,tOff_alpha_distal_2,20.0,1,0.3,9.326968,8.0
43,tOff_alpha_distal_2,20.0,1,0.4,17.936754,13.333333
44,tOff_alpha_distal_2,20.0,1,0.5,46.696537,24.0
45,tOff_alpha_distal_2,21.0,1,0.1,10.692932,3.3333333
46,tOff_alpha_distal_2,21.0,1,0.2,9.165437,7.0
47,tOff_alpha_distal_2,21.0,1,0.3,12.500885,8.0
48,tOff_alpha_distal_2,21.0,1,0.4,17.728733,13.333333
49,tOff_alpha_distal_2,21.0,1,0.5,42.90045,24.0
50,tOff_alpha_distal_2,22.0,1,0.1,10.593165,3.3333333
51,tOff_alpha_distal_2,22.0,1,0.2,10.630309,7.0
52,tOff_alpha_distal_2,22.0,1,0.3,10.041932,8.0
53,tOff_alpha_distal_2,22.0,1,0.4,16.823809,13.333333
54,tOff_alpha_distal_2,22.0,1,0.5,37.939026,24.0
55,tOff_alpha_distal_3,23.0,1,0.1,21.694916,12.0
56,tOff_alpha_distal_3,23.0,1,0.2,24.256613,7.5
57,tOff_alpha_distal_3,23.0,1,0.3,29.732239,12.0
58,tOff_alpha_distal_3,23.0,1,0.4,25.74152,15.5
59,tOff_alpha_distal_3,23.0,1,0.5,58.27117,40.0
