,lChirpCorr_distance,lChirpCorr_ExpDate,lChirp_corr,lChirpCorr_Angle,type
0,8.55868,20161215,0.6071656,172.87498,0.0
1,14.8228245,20161215,0.3323948,154.1392,0.0
2,15.92094,20161215,0.537418,152.133,0.0
3,14.747788,20161215,0.25900185,61.37731,0.0
4,10.829132,20161215,0.48337272,177.66269,0.0
5,4.697753,20161215,0.50694656,15.854928,0.0
6,21.67557,20161215,0.33175054,70.61283,0.0
7,18.608715,20161215,0.43774816,67.943565,0.0
8,17.80103,20161215,0.25886667,154.38495,0.0
9,5.2914095,20161215,0.45413575,0.0,0.0
10,235.04164,20161215,0.2666679,18.308851,0.0
11,25.50927,20161215,0.29614487,161.34381,0.0
12,32.98426,20161215,0.17816179,60.432846,0.0
13,235.14615,20161215,0.37593004,40.753063,0.0
14,209.10327,20161215,0.33084682,45.569214,0.0
15,229.18973,20161215,0.35866904,41.89598,0.0
16,215.68193,20161215,0.40790263,45.659027,0.0
17,221.48149,20161215,0.3446188,43.785336,0.0
18,226.36838,20161215,0.31595674,42.793304,0.0
19,249.67621,20161215,0.3879322,39.580746,0.0
20,239.0648,20161215,0.22353847,39.88406,0.0
21,259.46576,20161215,0.3340101,37.610596,0.0
22,212.03873,20161215,0.20709072,45.802967,0.0
23,246.74075,20161215,0.30261353,39.80452,0.0
24,297.19913,20161215,0.3714798,103.81387,0.0
25,273.73212,20161215,0.20291767,102.18048,0.0
26,292.22592,20161215,0.2382728,103.37313,0.0
27,282.36584,20161215,0.24164373,103.42858,0.0
28,286.44135,20161215,0.28142294,103.31867,0.0
29,294.49637,20161215,0.19696467,103.27667,0.0
30,169.9062,20161215,0.3336163,104.83629,0.0
31,162.7339,20161215,0.28789467,108.58815,0.0
32,197.94093,20161215,0.19129017,70.33835,0.0
33,160.18799,20161215,0.2650531,109.58904,0.0
34,180.57535,20161215,0.21385407,95.37555,0.0
35,175.61398,20161215,0.25531363,76.10058,0.0
36,156.44116,20161215,0.124980316,111.12042,0.0
37,183.2781,20161215,0.1813761,96.24048,0.0
38,121.30505,20161215,0.2664838,114.324165,0.0
39,116.46092,20161215,0.3307626,85.4264,0.0
40,55.333523,20161215,0.26272902,54.408726,0.0
41,49.11664,20161215,0.25124964,0.0,0.0
42,30.986933,20161215,0.2487597,132.43623,0.0
43,308.51382,20161215,0.16175249,71.42754,0.0
44,313.44427,20161215,0.15492581,70.68719,0.0
45,317.84113,20161215,0.12467821,69.80382,0.0
46,341.00354,20161215,0.1974895,65.04533,0.0
47,333.81763,20161215,0.09727392,66.641205,0.0
48,300.05426,20161215,0.09670355,71.39541,0.0
49,305.57837,20161215,0.17986254,70.88767,0.0
50,23.381504,20161215,0.32421315,140.05347,0.0
51,7.3622603,20161215,0.5334989,34.99202,0.0
52,10.179109,20161215,0.25977013,111.581406,0.0
53,2.270452,20161215,0.50840753,9.462322,0.0
54,3.8609269,20161215,0.47803995,143.06123,0.0
55,17.10689,20161215,0.34329233,102.3628,0.0
56,14.040036,20161215,0.4316782,104.93142,0.0
57,26.359709,20161215,0.2631916,137.62029,0.0
58,13.850089,20161215,0.44237587,158.9625,0.0
59,226.48297,20161215,0.31322697,17.812193,0.0
60,34.067947,20161215,0.3076509,136.07161,0.0
61,28.415583,20161215,0.20184216,112.45227,0.0
62,226.58746,20161215,0.35341594,48.616615,0.0
63,200.5446,20161215,0.32389438,53.415066,0.0
64,220.63106,20161215,0.3362148,49.752857,0.0
65,207.12325,20161215,0.41353053,53.496925,0.0
66,212.9228,20161215,0.3529231,51.64361,0.0
67,217.8097,20161215,0.26959723,50.645668,0.0
68,241.11752,20161215,0.37498707,47.46341,0.0
69,230.50612,20161215,0.20192493,47.742016,0.0
70,250.90709,20161215,0.35308766,45.49425,0.0
71,203.48004,20161215,0.22746383,53.650314,0.0
72,238.18208,20161215,0.27952397,47.68529,0.0
73,288.64044,20161215,0.30126086,105.40778,0.0
74,265.17343,20161215,0.17775163,103.73677,0.0
75,283.66724,20161215,0.24776673,104.93196,0.0
76,273.80716,20161215,0.2037155,104.990036,0.0
77,277.88266,20161215,0.25864464,104.853386,0.0
78,285.93768,20161215,0.22008233,104.85002,0.0
79,161.34753,20161215,0.338908,105.78007,0.0
80,154.17522,20161215,0.29165924,109.40292,0.0
81,189.38226,20161215,0.1963702,72.288086,0.0
82,151.62932,20161215,0.254937,110.30936,0.0
83,172.01668,20161215,0.21451934,96.620735,0.0
84,167.0553,20161215,0.27194348,77.799385,0.0
85,147.88248,20161215,0.14669196,111.76763,0.0
86,174.71942,20161215,0.15649366,97.45675,0.0
87,112.746376,20161215,0.28538516,113.48218,0.0
88,107.902245,20161215,0.30302024,85.32289,0.0
89,46.77484,20161215,0.2536174,59.6744,0.0
90,40.557957,20161215,0.26702854,0.0,0.0
91,22.428253,20161215,0.22786652,54.688786,0.0
92,299.95514,20161215,0.15990588,73.663864,0.0
93,304.8856,20161215,0.1528113,72.9462,0.0
94,309.28244,20161215,0.13880317,72.08167,0.0
95,332.44485,20161215,0.1506665,67.37343,0.0
96,325.25894,20161215,0.09465986,68.94993,0.0
97,291.49557,20161215,0.073398426,73.62238,0.0
98,297.01968,20161215,0.1584294,73.12117,0.0
99,30.743765,20161215,0.29190224,173.94829,0.0
100,29.570612,20161215,0.13698578,28.559275,0.0
101,25.651957,20161215,0.24789181,149.45639,0.0
102,19.520576,20161215,0.26592895,141.34067,0.0
103,36.498394,20161215,0.21853325,39.704254,0.0
104,33.431538,20161215,0.22576496,35.429043,0.0
105,2.9782047,20161215,0.18340372,1.8433421,0.0
106,9.531414,20161215,0.30225492,0.0,0.0
107,249.86447,20161215,0.18812282,12.179769,0.0
108,10.686445,20161215,0.2374935,2.8114722,0.0
109,47.807087,20161215,0.09908509,27.685991,0.0
110,249.96896,20161215,0.22145988,43.745216,0.0
111,223.9261,20161215,0.23202221,48.597557,0.0
112,244.01256,20161215,0.22791794,44.90495,0.0
113,230.50476,20161215,0.28236496,48.70879,0.0
114,236.30432,20161215,0.22253129,46.783073,0.0
115,241.19121,20161215,0.17641665,45.812565,0.0
116,264.49902,20161215,0.27314585,42.50774,0.0
117,253.88762,20161215,0.15894474,42.89754,0.0
118,274.2886,20161215,0.18168265,40.541836,0.0
119,226.86156,20161215,0.20013617,48.826313,0.0
120,261.56357,20161215,0.23081909,42.73829,0.0
121,312.02194,20161215,0.2127918,109.0888,0.0
122,288.55493,20161215,0.11109611,107.474754,0.0
123,307.04874,20161215,0.17940637,108.66516,0.0
124,297.18866,20161215,0.12357093,108.719345,0.0
125,301.26416,20161215,0.13884161,108.62168,0.0
126,309.31918,20161215,0.11630878,108.562004,0.0
127,184.72903,20161215,0.099433295,110.286514,0.0
128,177.55672,20161215,0.12240043,114.04274,0.0
129,212.76376,20161215,0.0821332,75.43693,0.0
130,175.01082,20161215,0.14802392,115.04135,0.0
131,195.39818,20161215,0.08263842,100.78195,0.0
132,190.4368,20161215,0.12721768,81.348755,0.0
133,171.26399,20161215,0.05321944,116.567825,0.0
134,198.10092,20161215,0.11132193,101.65322,0.0
135,136.12787,20161215,0.16692145,119.061485,0.0
136,131.28374,20161215,0.22778139,90.64838,0.0
137,70.15634,20161215,0.15917037,58.627403,0.0
138,63.93946,20161215,0.16014995,0.0,0.0
139,45.809757,20161215,0.1926428,164.6804,0.0
140,323.33664,20161215,0.11318921,76.27327,0.0
141,328.2671,20161215,0.06852665,75.510605,0.0
142,332.66394,20161215,0.050071053,74.60885,0.0
143,355.82635,20161215,0.117397465,69.80511,0.0
144,348.64044,20161215,0.06350127,71.41921,0.0
145,314.87708,20161215,0.050207112,76.25084,0.0
146,320.40118,20161215,0.119303115,75.73742,0.0
147,17.541368,20161215,0.19913934,145.9617,0.0
148,5.0918083,20161215,0.43809965,25.529697,0.0
149,11.223187,20161215,0.4331327,130.90405,0.0
150,24.46915,20161215,0.29783508,136.71097,0.0
151,21.402296,20161215,0.38051003,139.92343,0.0
152,33.72197,20161215,0.21236464,170.54457,0.0
153,21.212349,20161215,0.4461436,166.04549,0.0
154,219.1207,20161215,0.2864076,21.965544,0.0
155,41.43021,20161215,0.33155355,170.80266,0.0
156,35.777843,20161215,0.17785586,147.36865,0.0
157,219.2252,20161215,0.28374544,49.863552,0.0
158,193.18233,20161215,0.28778875,54.616817,0.0
159,213.2688,20161215,0.32629022,50.983463,0.0
160,199.76099,20161215,0.3340678,54.68343,0.0
161,205.56055,20161215,0.31558427,52.87363,0.0
162,210.44743,20161215,0.22673911,51.865383,0.0
163,233.75526,20161215,0.35996687,48.75787,0.0
164,223.14386,20161215,0.22254923,48.9788,0.0
165,243.54483,20161215,0.2731694,46.79505,0.0
166,196.11778,20161215,0.16027041,54.854565,0.0
167,230.81982,20161215,0.24648081,48.974445,0.0
168,281.2782,20161215,0.37558472,102.43683,0.0
169,257.8112,20161215,0.16965492,100.74976,0.0
170,276.305,20161215,0.21014893,101.945045,0.0
171,266.4449,20161215,0.24673684,102.00427,0.0
172,270.5204,20161215,0.26986048,101.85558,0.0
173,278.57544,20161215,0.20832193,101.869896,0.0
174,153.98528,20161215,0.29819444,102.586105,0.0
175,146.81296,20161215,0.2529565,106.18188,0.0
176,182.01999,20161215,0.21001299,69.55775,0.0
177,144.26706,20161215,0.21879299,107.07288,0.0
178,164.6544,20161215,0.21730077,93.51566,0.0
179,159.69304,20161215,0.24404152,74.908554,0.0
180,140.52022,20161215,0.20421033,108.521095,0.0
181,167.35716,20161215,0.16619323,94.34156,0.0
182,105.38411,20161215,0.30691466,110.394005,0.0
183,100.53998,20161215,0.34171095,82.0683,0.0
184,39.412582,20161215,0.26822326,59.18488,0.0
185,33.195698,20161215,0.2580232,0.0,0.0
186,15.065993,20161215,0.29111835,19.696766,0.0
187,292.5929,20161215,0.19653489,71.15348,0.0
188,297.52335,20161215,0.20824683,70.457,0.0
189,301.9202,20161215,0.13354856,69.61085,0.0
190,325.0826,20161215,0.18078744,64.95751,0.0
191,317.89667,20161215,0.0223849,66.51287,0.0
192,284.13333,20161215,0.15246372,71.10393,0.0
193,289.65744,20161215,0.2040764,70.609184,0.0
194,12.449561,20161215,0.18794876,120.93013,0.0
195,10.050035,20161215,0.17995186,77.82535,0.0
196,6.92778,20161215,0.18110676,19.025806,0.0
197,3.8609269,20161215,0.15377809,8.432259,0.0
198,32.548817,20161215,0.10478559,26.049746,0.0
199,20.039198,20161215,0.21738714,47.669388,0.0
200,236.66208,20161215,0.15284173,12.403986,0.0
201,40.257057,20161215,0.13576823,24.842165,0.0
202,18.236473,20161215,0.08035912,36.43911,0.0
203,236.76657,20161215,0.17528947,49.708694,0.0
204,210.72371,20161215,0.18718855,54.55147,0.0
205,230.81017,20161215,0.19790946,50.863464,0.0
206,217.30237,20161215,0.22434758,54.654903,0.0
207,223.10193,20161215,0.18802826,52.746597,0.0
208,227.9888,20161215,0.10092928,51.768055,0.0
209,251.29663,20161215,0.17436776,48.490795,0.0
210,240.68523,20161215,0.082536355,48.85314,0.0
211,261.0862,20161215,0.16246077,46.522247,0.0
212,213.65915,20161215,0.13313426,54.782146,0.0
213,248.36119,20161215,0.15306646,48.719505,0.0
214,298.81955,20161215,0.15503536,109.698296,0.0
215,275.35254,20161215,0.08803207,108.04724,0.0
216,293.84634,20161215,0.14205816,109.24147,0.0
217,283.98627,20161215,0.10518298,109.29816,0.0
218,288.06177,20161215,0.14186126,109.17558,0.0
219,296.1168,20161215,0.077388674,109.15167,0.0
220,171.52664,20161215,0.11052484,110.30992,0.0
221,164.35432,20161215,0.055305,113.95458,0.0
222,199.56137,20161215,0.10003756,76.33041,0.0
223,161.80843,20161215,0.1579992,114.871346,0.0
224,182.19579,20161215,0.06487469,101.0657,0.0
225,177.2344,20161215,0.089441955,82.01987,0.0
226,158.06158,20161215,0.065866426,116.33473,0.0
227,184.89853,20161215,0.07075692,101.91194,0.0
228,122.92548,20161215,0.077955596,117.63003,0.0
229,118.08135,20161215,0.12021844,89.81691,0.0
230,56.95395,20161215,0.14477171,62.580315,0.0
231,50.737064,20161215,0.09833869,0.0,0.0
232,32.60736,20161215,0.08029344,164.36307,0.0
233,310.13425,20161215,0.07955858,77.44288,0.0
234,315.0647,20161215,0.050109874,76.70105,0.0
235,319.46155,20161215,0.059042796,75.81609,0.0
236,342.62396,20161215,0.0520643,71.05204,0.0
237,335.43805,20161215,0.038776472,72.650375,0.0
238,301.67468,20161215,0.0537373,77.41122,0.0
239,307.1988,20161215,0.03554093,76.90319,0.0
240,6.131379,20161215,0.42386866,142.03654,0.0
241,19.377342,20161215,0.31981593,111.689674,0.0
242,16.310488,20161215,0.32707024,114.39374,0.0
243,28.630161,20161215,0.25707197,146.92322,0.0
244,16.12054,20161215,0.39048713,168.4248,0.0
245,224.21251,20161215,0.26499873,18.238903,0.0
246,36.3384,20161215,0.29665083,145.5131,0.0
247,30.686033,20161215,0.24688345,121.90083,0.0
248,224.31702,20161215,0.3039081,50.685066,0.0
249,198.27414,20161215,0.27720264,55.47547,0.0
250,218.3606,20161215,0.3030662,51.818363,0.0
251,204.8528,20161215,0.32438618,55.55416,0.0
252,210.65236,20161215,0.25902313,53.70937,0.0
253,215.53925,20161215,0.25266185,52.709187,0.0
254,238.84708,20161215,0.31906998,49.540348,0.0
255,228.23567,20161215,0.23375073,49.808315,0.0
256,248.63664,20161215,0.3323118,47.571907,0.0
257,201.2096,20161215,0.16288532,55.711277,0.0
258,235.91162,20161215,0.24077612,49.76134,0.0
259,286.37,20161215,0.27363217,105.45497,0.0
260,262.90298,20161215,0.14424431,103.77413,0.0
261,281.3968,20161215,0.20609124,104.96946,0.0
262,271.5367,20161215,0.17502259,105.02824,0.0
263,275.6122,20161215,0.25175777,104.88413,0.0
264,283.66724,20161215,0.13027127,104.891655,0.0
265,159.07707,20161215,0.2179853,105.652084,0.0
266,151.90477,20161215,0.17081416,109.24035,0.0
267,187.1118,20161215,0.1318208,72.45387,0.0
268,149.35886,20161215,0.1540276,110.12275,0.0
269,169.74622,20161215,0.16706535,96.57615,0.0
270,164.78485,20161215,0.19427606,77.88914,0.0
271,145.61203,20161215,0.11673393,111.56224,0.0
272,172.44897,20161215,0.1119653,97.40404,0.0
273,110.47592,20161215,0.21782078,112.950264,0.0
274,105.63179,20161215,0.228472,84.9558,0.0
275,44.50439,20161215,0.19445653,60.989273,0.0
276,38.287506,20161215,0.18860155,0.0,0.0
277,20.1578,20161215,0.19064437,45.226463,0.0
278,297.6847,20161215,0.124169454,73.91757,0.0
279,302.61514,20161215,0.073412366,73.207466,0.0
280,307.012,20161215,0.06694874,72.34935,0.0
281,330.1744,20161215,0.15948747,67.659325,0.0
282,322.9885,20161215,0.04986681,69.22886,0.0
283,289.22513,20161215,0.10005329,73.87313,0.0
284,294.74924,20161215,0.1293233,73.37421,0.0
285,16.977816,20161215,0.2622504,74.46255,0.0
286,13.910963,20161215,0.3432978,78.11523,0.0
287,22.498781,20161215,0.2184517,142.99754,0.0
288,9.989162,20161215,0.343584,0.0,0.0
289,230.34389,20161215,0.24313568,18.631718,0.0
290,30.207022,20161215,0.25805965,147.43144,0.0
291,28.286509,20161215,0.14349225,73.94894,0.0
292,230.4484,20161215,0.31732932,44.48459,0.0
293,204.40552,20161215,0.2938782,49.25751,0.0
294,224.49197,20161215,0.33741862,45.61118,0.0
295,210.98418,20161215,0.35897735,49.330784,0.0
296,216.78374,20161215,0.27317038,47.502144,0.0
297,221.67062,20161215,0.22656524,46.49775,0.0
298,244.97845,20161215,0.37675261,43.361805,0.0
299,234.36705,20161215,0.24236833,43.60346,0.0
300,254.76802,20161215,0.26339608,41.396355,0.0
301,207.34097,20161215,0.18416981,49.49426,0.0
302,242.043,20161215,0.2656675,43.58019,0.0
303,292.50137,20161215,0.2745011,104.05644,0.0
304,269.03436,20161215,0.15359439,102.39296,0.0
305,287.52817,20161215,0.18399228,103.587875,0.0
306,277.6681,20161215,0.19302875,103.6454,0.0
307,281.7436,20161215,0.22912982,103.514435,0.0
308,289.7986,20161215,0.14016438,103.50285,0.0
309,165.20847,20161215,0.24974357,104.58753,0.0
310,158.03615,20161215,0.24198347,108.24817,0.0
311,193.24318,20161215,0.18696906,70.86657,0.0
312,155.49023,20161215,0.1847709,109.18268,0.0
313,175.8776,20161215,0.14525919,95.34658,0.0
314,170.91623,20161215,0.20453018,76.42171,0.0
315,151.74341,20161215,0.1312611,110.663536,0.0
316,178.58035,20161215,0.14843364,96.18998,0.0
317,116.6073,20161215,0.25894442,112.924805,0.0
318,111.76317,20161215,0.26068208,84.46064,0.0
319,50.63577,20161215,0.2225984,55.691956,0.0
320,44.418884,20161215,0.20075613,0.0,0.0
321,26.28918,20161215,0.20956846,117.51603,0.0
322,303.81607,20161215,0.15281862,72.206375,0.0
323,308.74652,20161215,0.10914311,71.48648,0.0
324,313.14337,20161215,0.08735167,70.62016,0.0
325,336.3058,20161215,0.15389933,65.90743,0.0
326,329.11987,20161215,0.057648342,67.485565,0.0
327,295.3565,20161215,0.10982617,72.165825,0.0
328,300.8806,20161215,0.16659707,71.66392,0.0
329,3.0668535,20161215,0.22135238,11.24249,0.0
330,39.476597,20161215,0.13660781,38.665882,0.0
331,26.966978,20161215,0.29106563,56.928116,0.0
332,243.58986,20161215,0.20090783,10.083101,0.0
333,47.184837,20161215,0.21302758,35.44311,0.0
334,11.308693,20161215,0.14090884,26.790146,0.0
335,243.69435,20161215,0.21356301,54.14345,0.0
336,217.65149,20161215,0.18729843,58.94368,0.0
337,237.73795,20161215,0.16738051,55.280556,0.0
338,224.23015,20161215,0.24731182,59.025806,0.0
339,230.02971,20161215,0.20028979,57.171204,0.0
340,234.91658,20161215,0.15547314,56.17381,0.0
341,258.22443,20161215,0.21405293,52.986073,0.0
342,247.613,20161215,0.18402052,53.269535,0.0
343,268.01398,20161215,0.21282949,51.016525,0.0
344,220.58693,20161215,0.12759316,59.178852,0.0
345,255.28897,20161215,0.18708412,53.20852,0.0
346,305.74734,20161215,0.20120913,112.58284,0.0
347,282.28033,20161215,0.068109535,110.891045,0.0
348,300.77414,20161215,0.15771005,112.0862,0.0
349,290.91403,20161215,0.10042654,112.14582,0.0
350,294.98956,20161215,0.14720175,111.99245,0.0
351,303.0446,20161215,0.12016153,112.01334,0.0
352,178.45442,20161215,0.20450315,112.413925,0.0
353,171.2821,20161215,0.16357923,115.88283,0.0
354,206.48915,20161215,0.08476169,79.6324,0.0
355,168.7362,20161215,0.15677936,116.675705,0.0
356,189.12357,20161215,0.12276358,103.56129,0.0
357,184.16219,20161215,0.19484282,85.056595,0.0
358,164.98936,20161215,0.10740115,118.03838,0.0
359,191.82631,20161215,0.14433344,104.371346,0.0
360,129.85326,20161215,0.16197124,117.32277,0.0
361,125.00913,20161215,0.19814783,90.701805,0.0
362,63.88173,20161215,0.13503303,64.06163,0.0
363,57.66485,20161215,0.17828622,0.0,0.0
364,39.535145,20161215,0.14762059,155.49948,0.0
365,317.06204,20161215,0.07226664,81.02802,0.0
366,321.9925,20161215,0.045624733,80.30785,0.0
367,326.38934,20161215,0.008901897,79.44068,0.0
368,349.55176,20161215,0.10846453,74.72256,0.0
369,342.3658,20161215,0.06144618,76.30328,0.0
370,308.60248,20161215,0.0015856834,80.98736,0.0
371,314.1266,20161215,0.05695546,80.48555,0.0
372,36.409744,20161215,0.19895096,33.62179,0.0
373,23.900126,20161215,0.30351537,54.03107,0.0
374,240.523,20161215,0.22179931,10.301831,0.0
375,44.117985,20161215,0.24110773,31.273926,0.0
376,14.375546,20161215,0.13860357,29.376291,0.0
377,240.6275,20161215,0.2902052,52.562016,0.0
378,214.58463,20161215,0.1728258,57.3942,0.0
379,234.67108,20161215,0.27372056,53.711967,0.0
380,221.16328,20161215,0.27674443,57.49103,0.0
381,226.96284,20161215,0.22963288,55.59841,0.0
382,231.84973,20161215,0.22404398,54.613537,0.0
383,255.15756,20161215,0.2607272,51.36181,0.0
384,244.54616,20161215,0.13505162,51.70031,0.0
385,264.9471,20161215,0.21358745,49.391884,0.0
386,217.52008,20161215,0.14763083,57.626385,0.0
387,252.2221,20161215,0.17830881,51.588764,0.0
388,302.68048,20161215,0.25903696,111.84558,0.0
389,279.21347,20161215,0.13599981,110.17647,0.0
390,297.70728,20161215,0.16939439,111.37162,0.0
391,287.8472,20161215,0.16266565,111.42959,0.0
392,291.9227,20161215,0.21964881,111.29377,0.0
393,299.97772,20161215,0.09862971,111.28901,0.0
394,175.38757,20161215,0.31748012,112.103905,0.0
395,168.21526,20161215,0.21842712,115.66605,0.0
396,203.42229,20161215,0.09543923,78.6359,0.0
397,165.66934,20161215,0.18515912,116.52268,0.0
398,186.0567,20161215,0.170045,103.0377,0.0
399,181.09534,20161215,0.240527,84.22063,0.0
400,161.92252,20161215,0.14001447,117.93718,0.0
401,188.75946,20161215,0.16728063,103.86781,0.0
402,126.78641,20161215,0.20481823,118.14385,0.0
403,121.942276,20161215,0.22911516,90.976494,0.0
404,60.814877,20161215,0.17575933,64.222275,0.0
405,54.597992,20161215,0.19126756,0.0,0.0
406,36.46829,20161215,0.19623151,159.62021,0.0
