,lChirpCorr_distance,lChirpCorr_ExpDate,lChirp_corr,lChirpCorr_Angle,type
0,54.755817,20161217,0.5839679,156.1091,0.0
1,49.78261,20161217,0.52563834,152.46268,0.0
2,50.744877,20161217,0.5828878,11.544783,0.0
3,119.80812,20161217,0.5403863,70.47392,0.0
4,128.55542,20161217,0.49266982,22.395212,0.0
5,68.48119,20161217,0.54882246,148.20308,0.0
6,4.973206,20161217,0.62728375,124.751976,0.0
7,105.500694,20161217,0.580145,16.285337,0.0
8,174.56393,20161217,0.53118205,90.497986,0.0
9,183.31123,20161217,0.54544663,34.13119,0.0
10,93.96962,20161217,0.56672955,52.808357,0.0
11,100.52749,20161217,0.5217608,16.622375,0.0
12,169.59073,20161217,0.46691036,90.4415,0.0
13,178.33803,20161217,0.49919152,34.701477,0.0
14,88.996414,20161217,0.51757085,55.58608,0.0
15,130.26268,20161217,0.52619725,70.93027,0.0
16,108.96349,20161217,0.51617944,64.10086,0.0
17,119.226074,20161217,0.5655263,15.131127,0.0
18,208.07323,20161217,0.52113783,66.35108,0.0
19,188.2893,20161217,0.59372395,68.63363,0.0
20,197.03662,20161217,0.61300415,3.7716527,0.0
21,29.786007,20161223,0.5851828,161.36568,0.0
22,3.367761,20170615,0.88300794,111.7835,0.0
23,7.053735,20170615,0.8909098,127.45578,0.0
24,11.480543,20170615,0.9044739,134.6056,0.0
25,13.750995,20170615,0.8266044,139.87906,0.0
26,3.643213,20170615,0.846064,4.642184,0.0
27,16.559214,20170615,0.8644036,135.63058,0.0
28,52.793613,20170615,0.86010885,44.42101,0.0
29,213.49078,20170615,0.8128415,9.719781,0.0
30,7.243665,20170615,0.82880837,2.4216483,0.0
31,62.836857,20170615,0.8690075,162.19753,0.0
32,20.04557,20170615,0.86452174,157.88814,0.0
33,7.243665,20170615,0.76273376,67.26574,0.0
34,46.809395,20170615,0.76122576,44.78999,0.0
35,57.495872,20170615,0.7977876,44.359043,0.0
36,60.706776,20170615,0.8478971,45.39315,0.0
37,54.67452,20170615,0.7746085,44.391518,0.0
38,319.22098,20170615,0.7347003,50.145237,0.0
39,308.17487,20170615,0.6571353,49.538403,0.0
40,284.2028,20170615,0.6684237,50.063255,0.0
41,274.12494,20170615,0.6819329,49.334393,0.0
42,278.20047,20170615,0.6031249,49.43303,0.0
43,312.74356,20170615,0.7409522,49.916805,0.0
44,165.3549,20170615,0.8222132,32.651012,0.0
45,154.61798,20170615,0.8033039,29.962524,0.0
46,131.00372,20170615,0.82126534,36.280964,0.0
47,123.0478,20170615,0.798074,36.975292,0.0
48,136.52785,20170615,0.73465586,36.54283,0.0
49,181.97144,20170615,0.7615968,35.040916,0.0
50,169.4277,20170615,0.710081,29.995275,0.0
51,139.33423,20170615,0.7084177,37.145824,0.0
52,177.27368,20170615,0.67473656,33.325745,0.0
53,202.85513,20170615,0.63480747,35.491005,0.0
54,175.80283,20170615,0.69422543,48.2057,0.0
55,216.53506,20170615,0.6110941,45.91187,0.0
56,181.86288,20170615,0.6805324,46.651527,0.0
57,186.98248,20170615,0.6288178,45.42317,0.0
58,210.57863,20170615,0.5568014,46.780106,0.0
59,145.44472,20170615,0.5133608,63.157883,0.0
60,112.82592,20170615,0.6313304,32.822086,0.0
61,102.57625,20170615,0.6166859,24.897606,0.0
62,140.27467,20170615,0.6396569,36.133827,0.0
63,151.33543,20170615,0.6034641,32.67229,0.0
64,114.50721,20170615,0.5618306,18.136402,0.0
65,110.19899,20170615,0.531334,18.692919,0.0
66,135.41252,20170615,0.5840099,24.439703,0.0
67,127.14106,20170615,0.64609796,21.742437,0.0
68,3.685974,20170615,0.84235346,23.439182,0.0
69,8.1127825,20170615,0.86857533,32.084816,0.0
70,10.383234,20170615,0.7950656,35.88351,0.0
71,7.010974,20170615,0.8054813,134.42181,0.0
72,19.926975,20170615,0.8222287,132.35663,0.0
73,53.501373,20170615,0.83142716,151.382,0.0
74,210.12303,20170615,0.77945685,11.238134,0.0
75,10.611426,20170615,0.782392,128.4279,0.0
76,66.20462,20170615,0.8296505,143.52016,0.0
77,23.41333,20170615,0.8271765,134.07535,0.0
78,7.951426,20170615,0.72961646,157.04126,0.0
79,47.517155,20170615,0.74733496,148.19925,0.0
80,58.203632,20170615,0.7744445,150.53386,0.0
81,61.41454,20170615,0.80022115,150.69658,0.0
82,55.38228,20170615,0.7420541,151.02461,0.0
83,315.8532,20170615,0.68899506,51.143116,0.0
84,304.8071,20170615,0.62378705,50.550774,0.0
85,280.83502,20170615,0.6214451,51.020958,0.0
86,270.75717,20170615,0.65221494,50.30709,0.0
87,274.8327,20170615,0.57444733,50.40944,0.0
88,309.3758,20170615,0.6988829,50.93073,0.0
89,161.98714,20170615,0.7776055,33.04937,0.0
90,151.25021,20170615,0.77357894,30.76346,0.0
91,127.63596,20170615,0.7892466,36.60039,0.0
92,119.68004,20170615,0.7668212,37.173725,0.0
93,133.16008,20170615,0.6902719,37.006157,0.0
94,178.60368,20170615,0.7220658,35.93359,0.0
95,166.05995,20170615,0.68424,30.484724,0.0
96,135.96646,20170615,0.6668022,37.69022,0.0
97,173.90591,20170615,0.65769964,34.23319,0.0
98,199.48738,20170615,0.6123162,36.514526,0.0
99,172.43507,20170615,0.67143846,48.561554,0.0
100,213.1673,20170615,0.5916023,46.59864,0.0
101,178.49512,20170615,0.64997214,47.06511,0.0
102,183.61472,20170615,0.6067342,45.87779,0.0
103,207.21088,20170615,0.5396747,47.439198,0.0
104,142.07697,20170615,0.49756953,63.487717,0.0
105,109.45816,20170615,0.60748243,32.788296,0.0
106,99.20849,20170615,0.5935637,24.630339,0.0
107,136.90692,20170615,0.60895866,36.68386,0.0
108,147.96767,20170615,0.56889504,33.3997,0.0
109,111.13944,20170615,0.5390996,17.657955,0.0
110,106.83123,20170615,0.50883436,18.155367,0.0
111,132.04477,20170615,0.57083094,26.291683,0.0
112,123.7733,20170615,0.6164907,23.69198,0.0
113,4.4268084,20170615,0.86950624,8.995166,0.0
114,6.6972604,20170615,0.7921778,13.742882,0.0
115,10.696948,20170615,0.8083127,148.00037,0.0
116,23.612947,20170615,0.8318887,146.21785,0.0
117,57.187347,20170615,0.8133866,171.85841,0.0
118,206.43706,20170615,0.77852184,12.728778,0.0
119,14.2973995,20170615,0.78667885,144.08409,0.0
120,69.890594,20170615,0.84305644,156.80714,0.0
121,27.099304,20170615,0.8386686,149.69107,0.0
122,11.6374,20170615,0.73164845,164.75255,0.0
123,51.20313,20170615,0.7359312,171.00299,0.0
124,61.889606,20170615,0.7643287,171.78137,0.0
125,65.10051,20170615,0.81059265,172.66805,0.0
126,59.068253,20170615,0.7558413,171.8473,0.0
127,312.16724,20170615,0.68658227,52.927074,0.0
128,301.12112,20170615,0.6203749,52.33879,0.0
129,277.14905,20170615,0.6242701,52.79303,0.0
130,267.0712,20170615,0.64466923,52.08389,0.0
131,271.14673,20170615,0.5578385,52.18733,0.0
132,305.68982,20170615,0.7004082,52.719105,0.0
133,158.30116,20170615,0.7784387,34.411022,0.0
134,147.56424,20170615,0.7590092,32.486927,0.0
135,123.94999,20170615,0.77645415,38.06033,0.0
136,115.994064,20170615,0.76122236,38.54953,0.0
137,129.4741,20170615,0.6996483,38.55586,0.0
138,174.91771,20170615,0.72640353,37.688404,0.0
139,162.37398,20170615,0.662096,32.05711,0.0
140,132.28049,20170615,0.6743193,39.285725,0.0
141,170.21994,20170615,0.6232919,35.9937,0.0
142,195.8014,20170615,0.5979423,38.30794,0.0
143,168.7491,20170615,0.64852566,49.726185,0.0
144,209.48132,20170615,0.57246935,47.971233,0.0
145,174.80914,20170615,0.6339248,48.271336,0.0
146,179.92874,20170615,0.5930915,47.112473,0.0
147,203.5249,20170615,0.52270234,48.796875,0.0
148,138.39099,20170615,0.4834194,64.781654,0.0
149,105.77219,20170615,0.573524,33.99356,0.0
150,95.522514,20170615,0.5760586,25.657747,0.0
151,133.22095,20170615,0.5986824,38.283348,0.0
152,144.2817,20170615,0.5643591,35.090267,0.0
153,107.45347,20170615,0.5238268,18.523035,0.0
154,103.145256,20170615,0.4923559,18.955933,0.0
155,128.3588,20170615,0.5529022,25.652561,0.0
156,120.087326,20170615,0.6043772,23.176067,0.0
157,2.270452,20170615,0.8311493,5.311311,0.0
158,15.123756,20170615,0.8214086,153.03694,0.0
159,28.039757,20170615,0.8549064,151.5758,0.0
160,61.614155,20170615,0.8536024,174.28171,0.0
161,202.01024,20170615,0.7927681,15.001919,0.0
162,18.724209,20170615,0.8055773,150.48015,0.0
163,74.3174,20170615,0.8606393,160.3122,0.0
164,31.526114,20170615,0.857034,155.60654,0.0
165,16.064207,20170615,0.7426534,158.02184,0.0
166,55.629936,20170615,0.74926007,178.98004,0.0
167,66.316414,20170615,0.79407287,175.46428,0.0
168,69.52732,20170615,0.8318245,176.36755,0.0
169,63.49506,20170615,0.7738581,174.78542,0.0
170,307.74042,20170615,0.70451736,55.49353,0.0
171,296.69434,20170615,0.6445217,54.912342,0.0
172,272.72223,20170615,0.6600086,55.339386,0.0
173,262.64438,20170615,0.6755771,54.638313,0.0
174,266.7199,20170615,0.5936433,54.743572,0.0
175,301.26303,20170615,0.72211957,55.29322,0.0
176,153.87436,20170615,0.8000915,36.341866,0.0
177,143.13744,20170615,0.79319537,34.964615,0.0
178,119.52318,20170615,0.80035836,40.147713,0.0
179,111.56725,20170615,0.7773935,40.515194,0.0
180,125.047295,20170615,0.7122295,40.772224,0.0
181,170.49089,20170615,0.73679227,40.21118,0.0
182,157.94716,20170615,0.699005,34.31581,0.0
183,127.85368,20170615,0.69306463,41.568073,0.0
184,165.79314,20170615,0.6517653,38.526127,0.0
185,191.3746,20170615,0.6286996,40.8932,0.0
186,164.32228,20170615,0.6738943,51.37427,0.0
187,205.05452,20170615,0.5909667,49.929176,0.0
188,170.38234,20170615,0.6624386,49.981705,0.0
189,175.50194,20170615,0.61881983,48.86559,0.0
190,199.09808,20170615,0.542363,50.731915,0.0
191,133.96417,20170615,0.49197105,66.57929,0.0
192,101.345375,20170615,0.632088,35.728584,0.0
193,91.0957,20170615,0.6067443,27.182692,0.0
194,128.79414,20170615,0.6360376,40.572655,0.0
195,139.85489,20170615,0.6011263,37.516865,0.0
196,103.026665,20170615,0.54959077,19.891851,0.0
197,98.71845,20170615,0.5288855,20.232811,0.0
198,123.931984,20170615,0.57042855,25.866331,0.0
199,115.660515,20170615,0.65296245,23.649899,0.0
200,17.394209,20170615,0.7544402,157.51546,0.0
201,30.31021,20170615,0.7787455,156.22473,0.0
202,63.88461,20170615,0.79246795,172.62675,0.0
203,199.73979,20170615,0.7127441,15.734353,0.0
204,20.99466,20170615,0.7447693,155.52835,0.0
205,76.58785,20170615,0.8007026,163.6608,0.0
206,33.796566,20170615,0.77572346,160.4127,0.0
207,18.33466,20170615,0.6963764,152.71053,0.0
208,57.90039,20170615,0.69188184,175.12224,0.0
209,68.58687,20170615,0.7340807,173.57468,0.0
210,71.797775,20170615,0.77806324,173.3269,0.0
211,65.76551,20170615,0.6976148,173.03917,0.0
212,305.46997,20170615,0.6814108,56.118244,0.0
213,294.4239,20170615,0.5906144,55.5416,0.0
214,270.45178,20170615,0.6236908,55.952,0.0
215,260.37393,20170615,0.62279165,55.255775,0.0
